"","show_name_data_three","total_watch_duration_data_three"
"1","the-real-housewives-of-beverly-hills",27363132
"2","vanderpump-rules",25664913
"3","the-real-housewives-of-atlanta",13258569
"4","top-chef",11092566
"5","el-chema",8650535
"6","ladies-of-london",8290373
"7","summer-house",7664225
"8","suits",7381922
"9","themagicians",7131877
"10","married-to-medicine",6487062
"11","girlfriends-guide-to-divorce",5169791
"12","shooter0",4978812
"13","timber-creek-lodge",4792341
"14","bad-girls-club",4758583
"15","watch-what-happens-live-0",4204378
"16","la-do침a",4156730
"17","chrisleyknowsbest",3783264
"18","the-royals",3687869
"19","incorporated",3622901
"20","faceoff",3565608
"21","imposters",3306962
"22","revenge-body-with-khloe-kardashian",3225395
"23","last-chance-kitchen",3141291
"24","colony",3105366
"25","theexpanse",2668894
"26","mrrobot",2587347
"27","married-to-medicine-houston",1491072
"28","mujeres-ambiciosas",1424386
"29","million-dollar-listing-los-angeles",1373639
"30","la-fan",1249399
"31","aftermath",1220140
"32","caso-cerrado",1130226
"33","mariahs-world",1035008
"34","keeping-up-with-the-kardashians",989893
"35","total-divas",984856
"36","the-arrangement",928906
"37","amar-es-primavera",900025
"38","eyewitness",855981
"39","killjoys",849439
"40","first-family-of-hip-hop",683570
"41","tormenta-de-pasiones",643167
"42","paranormalwitness",594238
"43","vanhelsing",586794
"44","so-cosmo",545003
"45","rob-and-chyna",538415
"46","channelzero",501244
"47","silvana-sin-lana",495965
"48","ncis",467752
"49","snapped",459745
"50","ncislosangeles",441812
"51","richkids-of-beverly-hills",340130
"52","motive",310362
"53","hunters",298079
"54","lawordersvu",296856
"55","southern-charm",296700
"56","dont-be-tardy",289507
"57","botched",287364
"58","wags-miami",273971
"59","eric-and-jessie-game-on",253923
"60","wags",251776
"61","csi",243018
"62","moviesonusa",225388
"63","catching-kelce",178348
"64","fashion-police",178296
"65","znation",166311
"66","married-to-jonas",155353
"67","watch-what-happens-live",143290
"68","the-battle-of-the-ex-besties",142492
"69","the-real-housewives-of-new-york-city",136949
"70","playinghouse",134277
"71","below-deck",132238
"72","fallingwater",131865
"73","sweet-home-oklahoma",129453
"74","royalpains",122979
"75","wynonnaearp",116576
"76","siempre-ni침os",114445
"77","syfymovies",102402
"78","house-of-dvf",101967
"79","don-francisco-te-invita",101923
"80","hollywood-and-football",101617
"81","it-takes-a-killer",101150
"82","suelta-la-sopa",98731
"83","famously-single",97443
"84","botched-by-nature",94009
"85","the-rachel-maddow-show",93329
"86","burnnotice",77142
"87","whitecollar",76550
"88","imperio",74605
"89","ej-nyc",73816
"90","house",70038
"91","just-jillian",66792
"92","reportajes",60939
"93","captainamericathefirstavenger",60562
"94","decisiones-extremas",53538
"95","the-last-word-with-lawrence-odonnell",51623
"96","morning-joe",50406
"97","las-verdaderas-mujeres-asesinas",46489
"98","am-joy",42596
"99","the-riveras",37017
"100","theinternetruinedmylife",29715
"101","m치s-sabe-el-diablo",24821
"102","the-real-housewives-of-potomac",24797
"103","enfoque",24742
"104","firstimpressionswithdanacarvey",19971
"105","hardball-with-chris-matthews",19902
"106","the-11th-hour-with-brian-williams",19801
"107","all-in-with-chris-hayes",19555
"108","el-capo",17590
"109","mtp-daily",17008
"110","last-squad-standing",16146
"111","cosplaymelee",15263
"112","larrymania",12631
"113","ninas-world",11705
"114","three-days-to-live",10513
"115","for-the-record-with-greta",9268
"116","hollywood-medium-with-tyler-henry",7819
"117","sos-salva-mi-casa",5717
"118","premier-league",5690
"119","lockup",5372
"120","fridaynighttykessteelcountry",5251
"121","face-off",5115
"122","friday-night-tykes",4564
"123","politicsnation-with-al-sharpton",4453
"124","going-off-the-menu",4446
"125","noodle-y-doodle",4390
"126","el-show-de-chica",3546
"127","boxeo-telemundo",2934
"128","chiquis-n-control",2837
"129","isaac-takes-on",2818
"130","terrific-trucks",2730
"131","killer-couples",2619
"132","sons-of-anarchy",2537
"133","the-real-oj-simpson-trial",2473
"134","i-love-jenni",2177
"135","super-wings",1956
"136","berenstain-bears",1844
"137","floogals",1569
"138","busytown-mysteries",1445
"139","women-of-ninja",1267
"140","land-before-time",1146
"141","the-real-housewives-of-orange-county",871
"142","top-chef-mexico",802
"143","themagiciansenespa침ol",752
"144","chica-show",703
"145","jungle-bunch",698
"146","dot",680
"147","ruff-ruff-tweet-and-dave",667
"148","furchester-hotel",666
"149","noodle-doodle",634
"150","sarah-and-duck",424
"151","zerby-derby",423
"152","wrench-against-the-machine",418
"153","yaya-and-zouk",308
"154","noddy-toyland-detective",39
"155",NA,NA
